Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,
Data,6,record,timestamp,719421538,s,position_lat,405406366,semicircles,position_long,-1413328784,semicircles,distance,61.39,m,altitude,4.199999999999989,m,speed,6.403,m/s,power,34,watts,cadence,52,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421539,s,position_lat,405406778,semicircles,position_long,-1413328098,semicircles,distance,67.94,m,altitude,4.199999999999989,m,speed,6.309,m/s,power,37,watts,cadence,51,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421540,s,position_lat,405407153,semicircles,position_long,-1413327485,semicircles,distance,73.83,m,altitude,4.199999999999989,m,speed,5.816,m/s,power,11,watts,cadence,51,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421541,s,position_lat,405407464,semicircles,position_long,-1413326936,semicircles,distance,78.98,m,altitude,4.199999999999989,m,speed,4.914,m/s,power,0,watts,cadence,51,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421542,s,position_lat,405407747,semicircles,position_long,-1413326494,semicircles,distance,83.29,m,altitude,4.199999999999989,m,speed,3.933,m/s,power,0,watts,cadence,25,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421543,s,position_lat,405407955,semicircles,position_long,-1413326131,semicircles,distance,86.71,m,altitude,4.199999999999989,m,speed,3.118,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421544,s,position_lat,405408135,semicircles,position_long,-1413325854,semicircles,distance,89.33,m,altitude,4.199999999999989,m,speed,2.212,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421545,s,position_lat,405408244,semicircles,position_long,-1413325667,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.802,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421546,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421547,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421548,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,719421549,,unknown,2,,unknown,2,,unknown,3,,unknown,1,,unknown,5,,unknown,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421549,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,719421550,,unknown,3,,unknown,3,,unknown,3,,unknown,1,,unknown,5,,unknown,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421550,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
Data,6,record,timestamp,719421551,s,position_lat,405408237,semicircles,position_long,-1413325669,semicircles,distance,90.69,m,altitude,4.199999999999989,m,speed,0.0,m/s,power,0,watts,cadence,0,rpm,temperature,18,C,,,,,,,,,,,,,,,,,,,
