Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802840710,s,position_lat,406179653,semicircles,position_long,-1412193675,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,116,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840711,s,position_lat,406179655,semicircles,position_long,-1412193691,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,117,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840712,s,position_lat,406179658,semicircles,position_long,-1412193708,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,141,watts,heart_rate,118,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840713,s,position_lat,406179662,semicircles,position_long,-1412193726,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,140,watts,heart_rate,119,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840714,s,position_lat,406179667,semicircles,position_long,-1412193745,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,119,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840715,s,position_lat,406179674,semicircles,position_long,-1412193763,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,138,watts,heart_rate,120,bpm,cadence,80,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840716,s,position_lat,406179681,semicircles,position_long,-1412193781,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,140,watts,heart_rate,120,bpm,cadence,81,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840717,s,position_lat,406179689,semicircles,position_long,-1412193797,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,120,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840718,s,position_lat,406179698,semicircles,position_long,-1412193814,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,144,watts,heart_rate,121,bpm,cadence,83,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840719,s,position_lat,406179708,semicircles,position_long,-1412193828,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,142,watts,heart_rate,121,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802840720,s,position_lat,406179718,semicircles,position_long,-1412193842,semicircles,distance,0.07,m,altitude,75.60000000000002,m,speed,0.0,m/s,power,139,watts,heart_rate,121,bpm,cadence,82,rpm,temperature,26,C,,,,,,,,,,
