Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,802925303,s,position_lat,406179266,semicircles,position_long,-1412194384,semicircles,distance,0.16,m,altitude,58.0,m,speed,0.0,m/s,power,101,watts,heart_rate,100,bpm,cadence,57,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925304,s,position_lat,406179260,semicircles,position_long,-1412194385,semicircles,distance,0.18,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,101,bpm,cadence,57,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925305,s,position_lat,406179252,semicircles,position_long,-1412194387,semicircles,distance,0.21,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,102,bpm,cadence,56,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925306,s,position_lat,406179245,semicircles,position_long,-1412194389,semicircles,distance,0.23,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,103,bpm,cadence,56,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925307,s,position_lat,406179239,semicircles,position_long,-1412194391,semicircles,distance,0.26,m,altitude,58.0,m,speed,0.0,m/s,power,98,watts,heart_rate,103,bpm,cadence,56,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925308,s,position_lat,406179234,semicircles,position_long,-1412194392,semicircles,distance,0.27,m,altitude,58.0,m,speed,0.0,m/s,power,96,watts,heart_rate,103,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925309,s,position_lat,406179231,semicircles,position_long,-1412194394,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,96,watts,heart_rate,103,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925310,s,position_lat,406179230,semicircles,position_long,-1412194394,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,96,watts,heart_rate,102,bpm,cadence,54,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925311,s,position_lat,406179229,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,99,watts,heart_rate,102,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
Data,5,record,timestamp,802925312,s,position_lat,406179230,semicircles,position_long,-1412194395,semicircles,distance,0.28,m,altitude,58.0,m,speed,0.0,m/s,power,100,watts,heart_rate,102,bpm,cadence,55,rpm,temperature,26,C,,,,,,,,,,
